experiment_id,trial_id,timestamp,curve_name,curve_description,elo,tolerance,cp_loss,soundness_score,tol_at_min_elo,tol_at_max_elo
exp7,65,2026-02-25T14:04:23.321803+00:00,narrower_range,Narrower: 110 (ELO 400) to 60 (ELO 1400),500,105.0,0,100,110.0,60.0
exp7,66,2026-02-25T14:04:23.321805+00:00,narrower_range,Narrower: 110 (ELO 400) to 60 (ELO 1400),500,105.0,10,90,110.0,60.0
exp7,67,2026-02-25T14:04:23.321806+00:00,narrower_range,Narrower: 110 (ELO 400) to 60 (ELO 1400),500,105.0,30,75,110.0,60.0
exp7,68,2026-02-25T14:04:23.321808+00:00,narrower_range,Narrower: 110 (ELO 400) to 60 (ELO 1400),500,105.0,50,62,110.0,60.0
exp7,69,2026-02-25T14:04:23.321809+00:00,narrower_range,Narrower: 110 (ELO 400) to 60 (ELO 1400),500,105.0,80,46,110.0,60.0
exp7,70,2026-02-25T14:04:23.321810+00:00,narrower_range,Narrower: 110 (ELO 400) to 60 (ELO 1400),500,105.0,120,31,110.0,60.0
exp7,71,2026-02-25T14:04:23.321811+00:00,narrower_range,Narrower: 110 (ELO 400) to 60 (ELO 1400),500,105.0,200,14,110.0,60.0
exp7,72,2026-02-25T14:04:23.321813+00:00,narrower_range,Narrower: 110 (ELO 400) to 60 (ELO 1400),500,105.0,300,5,110.0,60.0
exp7,73,2026-02-25T14:04:23.321814+00:00,narrower_range,Narrower: 110 (ELO 400) to 60 (ELO 1400),800,90.0,0,100,110.0,60.0
exp7,74,2026-02-25T14:04:23.321815+00:00,narrower_range,Narrower: 110 (ELO 400) to 60 (ELO 1400),800,90.0,10,89,110.0,60.0
exp7,75,2026-02-25T14:04:23.321817+00:00,narrower_range,Narrower: 110 (ELO 400) to 60 (ELO 1400),800,90.0,30,71,110.0,60.0
exp7,76,2026-02-25T14:04:23.321818+00:00,narrower_range,Narrower: 110 (ELO 400) to 60 (ELO 1400),800,90.0,50,57,110.0,60.0
exp7,77,2026-02-25T14:04:23.321819+00:00,narrower_range,Narrower: 110 (ELO 400) to 60 (ELO 1400),800,90.0,80,41,110.0,60.0
exp7,78,2026-02-25T14:04:23.321821+00:00,narrower_range,Narrower: 110 (ELO 400) to 60 (ELO 1400),800,90.0,120,26,110.0,60.0
exp7,79,2026-02-25T14:04:23.321822+00:00,narrower_range,Narrower: 110 (ELO 400) to 60 (ELO 1400),800,90.0,200,10,110.0,60.0
exp7,80,2026-02-25T14:04:23.321823+00:00,narrower_range,Narrower: 110 (ELO 400) to 60 (ELO 1400),800,90.0,300,3,110.0,60.0
exp7,81,2026-02-25T14:04:23.321825+00:00,narrower_range,Narrower: 110 (ELO 400) to 60 (ELO 1400),1000,80.0,0,100,110.0,60.0
exp7,82,2026-02-25T14:04:23.321826+00:00,narrower_range,Narrower: 110 (ELO 400) to 60 (ELO 1400),1000,80.0,10,88,110.0,60.0
exp7,83,2026-02-25T14:04:23.321827+00:00,narrower_range,Narrower: 110 (ELO 400) to 60 (ELO 1400),1000,80.0,30,68,110.0,60.0
exp7,84,2026-02-25T14:04:23.321830+00:00,narrower_range,Narrower: 110 (ELO 400) to 60 (ELO 1400),1000,80.0,50,53,110.0,60.0
exp7,85,2026-02-25T14:04:23.321831+00:00,narrower_range,Narrower: 110 (ELO 400) to 60 (ELO 1400),1000,80.0,80,36,110.0,60.0
exp7,86,2026-02-25T14:04:23.321832+00:00,narrower_range,Narrower: 110 (ELO 400) to 60 (ELO 1400),1000,80.0,120,22,110.0,60.0
exp7,87,2026-02-25T14:04:23.321834+00:00,narrower_range,Narrower: 110 (ELO 400) to 60 (ELO 1400),1000,80.0,200,8,110.0,60.0
exp7,88,2026-02-25T14:04:23.321835+00:00,narrower_range,Narrower: 110 (ELO 400) to 60 (ELO 1400),1000,80.0,300,2,110.0,60.0
exp7,89,2026-02-25T14:04:23.321838+00:00,narrower_range,Narrower: 110 (ELO 400) to 60 (ELO 1400),1200,70.0,0,100,110.0,60.0
exp7,90,2026-02-25T14:04:23.321840+00:00,narrower_range,Narrower: 110 (ELO 400) to 60 (ELO 1400),1200,70.0,10,86,110.0,60.0
exp7,91,2026-02-25T14:04:23.321841+00:00,narrower_range,Narrower: 110 (ELO 400) to 60 (ELO 1400),1200,70.0,30,65,110.0,60.0
exp7,92,2026-02-25T14:04:23.321843+00:00,narrower_range,Narrower: 110 (ELO 400) to 60 (ELO 1400),1200,70.0,50,48,110.0,60.0
exp7,93,2026-02-25T14:04:23.321844+00:00,narrower_range,Narrower: 110 (ELO 400) to 60 (ELO 1400),1200,70.0,80,31,110.0,60.0
exp7,94,2026-02-25T14:04:23.321846+00:00,narrower_range,Narrower: 110 (ELO 400) to 60 (ELO 1400),1200,70.0,120,18,110.0,60.0
exp7,95,2026-02-25T14:04:23.321847+00:00,narrower_range,Narrower: 110 (ELO 400) to 60 (ELO 1400),1200,70.0,200,5,110.0,60.0
exp7,96,2026-02-25T14:04:23.321849+00:00,narrower_range,Narrower: 110 (ELO 400) to 60 (ELO 1400),1200,70.0,300,1,110.0,60.0
exp7,97,2026-02-25T14:04:23.321850+00:00,generous_beginner,More generous to beginners: 180 (ELO 400) to 50 (ELO 1400),500,167.0,0,100,180.0,50.0
exp7,98,2026-02-25T14:04:23.321851+00:00,generous_beginner,More generous to beginners: 180 (ELO 400) to 50 (ELO 1400),500,167.0,10,94,180.0,50.0
exp7,99,2026-02-25T14:04:23.321853+00:00,generous_beginner,More generous to beginners: 180 (ELO 400) to 50 (ELO 1400),500,167.0,30,83,180.0,50.0
exp7,100,2026-02-25T14:04:23.321854+00:00,generous_beginner,More generous to beginners: 180 (ELO 400) to 50 (ELO 1400),500,167.0,50,74,180.0,50.0
